year,transect,POPR,BRIN,NatC3,IntC3,NatC4,IntC4,Natleg,Intleg,NatForb,IntForb,NatWoody,IntWoody,Bare,Dead,Robel,LitterDepth,TRT,bloop1,TSF,BurnSeason
2019,DSWSWN,20.35,23.65,0,0,4.95,0,6.7,5.25,8,1.8,3,0,2.05,12.55,2.9125,34.9,PBG40,DSWSWN20191,2,SPRING
2020,DSWSWN,16.3,14.75,6.45,0.3,0.15,0,3.9,1.2,5.85,0.3,5.1,0,1.2,11.75,3.3125,26.675,PBG40,DSWSWN20201,3,SPRING
2017,DSWSWS,28,20.6,24.3,0.9,0.3,0,2.25,1.65,8.25,5.1,1.05,0,3.9,3.45,2.2,9.5,PBG40,DSWSWS20171,0,SPRING
2018,DSWSWS,29.8,21,21.9,2.8,8.25,0,6,1.65,21.75,2.95,2.8,0,4.5,7.65,3.9,12.45,PBG40,DSWSWS20181,1,SPRING
2019,DSWSWS,21.75,16.7,1.65,0,9.2,0,4.35,8.15,16.8,0,2.1,0,1.05,10.25,2.825,31.9375,PBG40,DSWSWS20191,2,SPRING
2020,DSWSWS,15.2,12.05,21.7,5.95,0.15,0,3.6,1.95,6.25,0,2.1,0,7.15,21.2,2.65,25.975,PBG40,DSWSWS20201,3,SPRING
2017,ENENEE,32.3,33.4,1.35,2.7,0,0,5.05,1.05,8.65,4.35,13.3,0,6.45,6.6,2.5125,21.75,PBG20,ENENEE20171,UNB,NA
2018,ENENEE,36.1,23.1,5.45,3.75,0.75,0,7.35,0,19.35,10.25,13.85,0,1.2,5.1,3.35,24.55,PBG20,ENENEE20181,UNB,NA
2019,ENENEE,33.55,22.55,4.15,9.85,7.6,0,14.8,4.55,17,19.7,16.65,0,9.85,23.9,2.3375,10.275,PBG20,ENENEE20191,0,FALL
2020,ENENEE,19.05,18.4,14.65,6.35,0.6,0,2.25,1.35,9.3,2.4,8.3,0,7.7,28.95,2.4125,32.1,PBG20,ENENEE20201,1,FALL
2017,ENENEW,27.2,19.6,6.1,7,0,0.15,4.6,2.25,20.05,10.65,8.9,0,0.45,6.45,2.5375,19.9375,PBG20,ENENEW20171,UNB,NA
2018,ENENEW,26.63158,7.894737,1.736842,4.210526,3.578947,0,16.10526,5.526316,34.10526,16.21053,13.84211,0,7.157895,2.368421,2.736842,10.84211,PBG20,ENENEW20181,0,SPRING
2019,ENENEW,36.7,13.25,8.7,11.35,0.75,0,18.2,8.45,30.65,17.35,16.65,0,2.65,22.35,3.4375,10.2875,PBG20,ENENEW20191,1,SPRING
2020,ENENEW,19.6,5.1,4.85,9.2,0,0,1.2,1.05,13.1,1.65,4.95,0,1.8,10.7,3.7125,32.3875,PBG20,ENENEW20201,2,SPRING
